Country,Year,Number of Participants
Egypt,2014,0.0
Egypt,2016,0.0
Ethiopia,2013,0.0
Ethiopia,2014,0.0
Ethiopia,2016,1.0
Ethiopia,2018,1.0
Ethiopia,2017,0.0
Ethiopia,2015,6.0
France,2013,0.0
France,2018,3.0
France,2014,4.0
France,2015,7.0
France,2016,4.0
France,2017,3.0
Georgia,2014,0.0
Georgia,2016,0.0
Georgia,2018,0.0
Georgia,2015,0.0
Georgia,2017,0.0
Georgia,2013,2.0
Germany,2015,5.0
Germany,2013,5.0
Germany,2018,3.0
Germany,2014,1.0
Germany,2016,4.0
Germany,2017,5.0
Ghana,2018,0.0
Ghana,2014,0.0
Ghana,2015,2.0
Ghana,2016,0.0
Ghana,2013,0.0
Ghana,2017,0.0
Greece,2015,0.0
Greece,2013,0.0
Greece,2016,0.0
Greece,2017,0.0
Greece,2014,1.0
Greece,2018,0.0
Guatemala,2017,0.0
Guatemala,2014,0.0
Guatemala,2018,0.0
Guatemala,2013,2.0
Guatemala,2015,0.0
Guatemala,2016,1.0
Hungary,2015,1.0
Hungary,2014,0.0
Hungary,2016,0.0
Hungary,2018,0.0
Hungary,2013,1.0
Hungary,2017,0.0
India,2018,2.0
India,2015,0.0
India,2013,0.0
India,2017,0.0
India,2014,62.0
India,2016,1.0
Indonesia,2018,3.0
Indonesia,2014,1.0
Indonesia,2017,2.0
Indonesia,2015,3.0
Indonesia,2016,3.0
Indonesia,2013,3.0
Israel,2015,1.0
Israel,2016,0.0
Israel,2013,0.0
Israel,2017,0.0
Israel,2018,1.0
Israel,2014,1.0
Italy,2014,4.0
Italy,2015,15.0
Italy,2013,2.0
Italy,2017,0.0
Italy,2018,2.0
Italy,2016,0.0
Jamaica,2016,0.0
Jamaica,2018,1.0
Jamaica,2015,0.0
Jamaica,2017,0.0
Jamaica,2014,0.0
Jamaica,2013,0.0
Japan,2018,3.0
Japan,2013,1.0
Japan,2016,0.0
Japan,2014,1.0
Japan,2017,1.0
Japan,2015,0.0
Jordan,2017,0.0
Jordan,2018,0.0
Jordan,2014,0.0
Jordan,2013,0.0
Jordan,2016,0.0
Jordan,2015,1.0
Kazakhstan,2013,0.0
Kazakhstan,2015,1.0
Kazakhstan,2014,0.0
Kazakhstan,2017,0.0
Kazakhstan,2018,0.0
Kazakhstan,2016,0.0
Kenya,2015,40.0
Kenya,2014,0.0
Kenya,2016,0.0
Kenya,2017,0.0
Kenya,2013,1.0
Kenya,2018,2.0
Korea,2016,0.0
Korea,2018,0.0
Korea,2014,24.0
Korea,2013,0.0
Korea,2015,0.0
Korea,2017,0.0
Kyrgystan,2015,0.0
Kyrgystan,2014,0.0
Kyrgystan,2018,0.0
Kyrgystan,2016,0.0
Kyrgystan,2013,1.0
Kyrgystan,2017,0.0
Kyrgyzstan,2016,1.0
Kyrgyzstan,2017,0.0
Kyrgyzstan,2014,0.0
Kyrgyzstan,2015,0.0
Kyrgyzstan,2018,0.0
Kyrgyzstan,2013,0.0
Laos,2017,0.0
Laos,2015,3.0
Laos,2016,0.0
Laos,2018,0.0
Laos,2014,0.0
Laos,2013,1.0
Liberia,2013,0.0
Liberia,2018,1.0
Liberia,2015,0.0
Liberia,2016,0.0
Liberia,2014,0.0
Liberia,2017,0.0
Lithuania,2015,0.0
Lithuania,2013,0.0
Lithuania,2016,0.0
Lithuania,2017,0.0
Lithuania,2018,1.0
Lithuania,2014,2.0
Madagascar,2016,0.0
Madagascar,2015,0.0
Madagascar,2017,2.0
Madagascar,2014,0.0
Madagascar,2018,0.0
Madagascar,2013,0.0
Malaysia,2016,2.0
Malaysia,2015,3.0
Malaysia,2017,0.0
Malaysia,2018,0.0
Malaysia,2014,0.0
Malaysia,2013,2.0
Martinique,2015,0.0
Martinique,2016,1.0
Martinique,2014,0.0
Martinique,2018,0.0
Martinique,2017,0.0
Martinique,2013,0.0
Mexico,2013,6.0
Mexico,2015,13.0
Mexico,2016,8.0
Mexico,2017,1.0
Mexico,2014,12.0
Mexico,2018,3.0
Mongolia,2016,1.0
Mongolia,2018,13.0
Mongolia,2014,0.0
Mongolia,2015,0.0
Mongolia,2013,20.0
Mongolia,2017,0.0
Morocco,2016,0.0
Morocco,2017,0.0
Morocco,2018,0.0
Morocco,2013,0.0
Morocco,2014,0.0
Morocco,2015,1.0
Mozambique,2015,0.0
Mozambique,2018,6.0
Mozambique,2013,24.0
Mozambique,2017,1.0
Mozambique,2014,0.0
Mozambique,2016,60.0
Myanmar,2015,5.0
Myanmar,2018,2.0
Myanmar,2016,0.0
Myanmar,2014,0.0
Myanmar,2013,0.0
Myanmar,2017,0.0
Nepal,2014,1.0
Nepal,2015,0.0
Nepal,2016,0.0
Nepal,2017,2.0
Nepal,2018,0.0
Nepal,2013,0.0
Netherlands,2018,0.0
Netherlands,2013,1.0
Netherlands,2017,0.0
Netherlands,2015,1.0
Netherlands,2016,0.0
Netherlands,2014,4.0
New Zealand,2015,0.0
New Zealand,2014,1.0
New Zealand,2017,0.0
New Zealand,2013,3.0
New Zealand,2016,1.0
New Zealand,2018,1.0
Nicaragua,2015,0.0
Nicaragua,2014,0.0
Nicaragua,2017,0.0
Nicaragua,2016,0.0
Nicaragua,2018,0.0
Nicaragua,2013,7.0
Nigeria,2014,0.0
Nigeria,2018,2.0
Nigeria,2015,0.0
Nigeria,2017,1.0
Nigeria,2016,0.0
Nigeria,2013,0.0
Norway,2017,3.0
Norway,2016,2.0
Norway,2014,1.0
Norway,2013,0.0
Norway,2018,0.0
Norway,2015,0.0
Not sure Not an SAPECS person…,2017,0.0
Not sure Not an SAPECS person…,2016,0.0
Not sure Not an SAPECS person…,2013,0.0
Not sure Not an SAPECS person…,2014,0.0
Not sure Not an SAPECS person…,2015,1.0
Not sure Not an SAPECS person…,2018,0.0
Pakistan,2015,0.0
Pakistan,2018,3.0
Pakistan,2017,0.0
Pakistan,2014,0.0
Pakistan,2016,0.0
Pakistan,2013,0.0
Panama,2014,0.0
Panama,2017,0.0
Panama,2015,0.0
Panama,2016,1.0
Panama,2018,0.0
Panama,2013,1.0
Peru,2014,0.0
Peru,2018,8.0
Peru,2016,1.0
Peru,2017,0.0
Peru,2015,0.0
Peru,2013,44.0
Philippines,2017,0.0
Philippines,2014,3.0
Philippines,2013,1.0
Philippines,2016,0.0
Philippines,2018,0.0
Philippines,2015,2.0
Portugal,2014,9.0
Portugal,2018,0.0
Portugal,2016,1.0
Portugal,2017,2.0
Portugal,2013,1.0
Portugal,2015,0.0
Puerto Rico,2018,0.0
Puerto Rico,2014,0.0
Puerto Rico,2013,0.0
Puerto Rico,2015,1.0
Puerto Rico,2016,0.0
Puerto Rico,2017,0.0
República Dominicana,2016,0.0
República Dominicana,2014,0.0
República Dominicana,2013,3.0
República Dominicana,2018,0.0
República Dominicana,2015,0.0
República Dominicana,2017,0.0
Romania,2016,0.0
Romania,2015,1.0
Romania,2017,22.0
Romania,2014,0.0
Romania,2013,0.0
Romania,2018,1.0
Russia,2014,0.0
Russia,2013,0.0
Russia,2017,0.0
Russia,2016,1.0
Russia,2015,0.0
Russia,2018,1.0
Russian Federation,2017,1.0
Russian Federation,2013,0.0
Russian Federation,2014,0.0
Russian Federation,2018,0.0
Russian Federation,2016,0.0
Russian Federation,2015,0.0
Seychelles,2018,0.0
Seychelles,2016,0.0
Seychelles,2013,0.0
Seychelles,2014,0.0
Seychelles,2015,0.0
Seychelles,2017,1.0
Singapore,2014,0.0
Singapore,2016,0.0
Singapore,2013,1.0
Singapore,2018,1.0
Singapore,2017,1.0
Singapore,2015,0.0
Slovenia,2018,0.0
Slovenia,2015,2.0
Slovenia,2016,0.0
Slovenia,2017,0.0
Slovenia,2014,0.0
Slovenia,2013,0.0
South Africa,2014,0.0
South Africa,2017,1.0
South Africa,2015,18.0
South Africa,2016,3.0
South Africa,2013,0.0
South Africa,2018,1.0
South Korea,2018,4.0
South Korea,2017,4.0
South Korea,2013,0.0
South Korea,2016,0.0
South Korea,2015,0.0
South Korea,2014,0.0
Spain,2018,3.0
Spain,2013,30.0
Spain,2015,0.0
Spain,2016,0.0
Spain,2017,3.0
Spain,2014,8.0
Sri Lanka,2015,1.0
Sri Lanka,2014,0.0
Sri Lanka,2018,1.0
Sri Lanka,2013,0.0
Sri Lanka,2017,1.0
Sri Lanka,2016,0.0
Suriname,2016,1.0
Suriname,2013,0.0
Suriname,2018,0.0
Suriname,2014,0.0
Suriname,2015,0.0
Suriname,2017,0.0
Swaziland,2013,0.0
Swaziland,2016,1.0
Swaziland,2015,0.0
Swaziland,2018,0.0
Swaziland,2017,0.0
Swaziland,2014,0.0
Sweden,2015,0.0
Sweden,2013,1.0
Sweden,2016,1.0
Sweden,2017,6.0
Sweden,2018,2.0
Sweden,2014,0.0
Switzerland,2018,8.0
Switzerland,2015,24.0
Switzerland,2017,5.0
Switzerland,2013,4.0
Switzerland,2014,0.0
Switzerland,2016,6.0
Tanzania,2015,1.0
Tanzania,2017,0.0
Tanzania,2016,0.0
Tanzania,2014,0.0
Tanzania,2018,1.0
Tanzania,2013,0.0
Thailand,2013,0.0
Thailand,2018,0.0
Thailand,2015,7.0
Thailand,2014,0.0
Thailand,2016,1.0
Thailand,2017,0.0
Trinidad & Tobago,2014,18.0
Trinidad & Tobago,2015,0.0
Trinidad & Tobago,2013,0.0
Trinidad & Tobago,2016,0.0
Trinidad & Tobago,2018,0.0
Trinidad & Tobago,2017,0.0
Trinidad and Tobago,2017,0.0
Trinidad and Tobago,2013,0.0
Trinidad and Tobago,2015,0.0
Trinidad and Tobago,2016,0.0
Trinidad and Tobago,2014,1.0
Trinidad and Tobago,2018,0.0
Tunisia,2014,0.0
Tunisia,2017,0.0
Tunisia,2013,0.0
Tunisia,2016,0.0
Tunisia,2015,5.0
Tunisia,2018,0.0
UK,2018,0.0
UK,2014,0.0
UK,2016,0.0
UK,2017,0.0
UK,2015,1.0
UK,2013,0.0
USA,2017,14.0
USA,2013,159.0
USA,2018,0.0
USA,2016,154.0
USA,2014,89.0
USA,2015,33.0
United Arab Emirates,2018,0.0
United Arab Emirates,2013,0.0
United Arab Emirates,2016,0.0
United Arab Emirates,2014,0.0
United Arab Emirates,2015,1.0
United Arab Emirates,2017,0.0
United Kingdom,2013,153.0
United Kingdom,2014,2.0
United Kingdom,2015,0.0
United Kingdom,2016,16.0
United Kingdom,2017,7.0
United Kingdom,2018,6.0
United States,2014,0.0
United States,2015,0.0
United States,2018,171.0
United States,2013,0.0
United States,2016,17.0
United States,2017,171.0
Vietnam,2014,1.0
Vietnam,2015,3.0
Vietnam,2018,0.0
Vietnam,2013,5.0
Vietnam,2016,2.0
Vietnam,2017,0.0
Zimbabwe,2015,1.0
Zimbabwe,2016,0.0
Zimbabwe,2014,0.0
Zimbabwe,2013,0.0
Zimbabwe,2017,0.0
Zimbabwe,2018,0.0
